agency,price,title,address,date,transport,bed,bath,chair
taylors-oxford-city-sales-oxford-28238,"£275,000",2 bed flat for sale,"Medhurst Way, Littlemore, Oxford, Oxfordshire OX4",Listed on 24th Feb 2022,"['2.5 miles Radley', '3.2 miles Oxford']",2,1,1
knight-frank-oxford-sales-oxford-36493,"£950,000",3 bed terraced house for sale,"Hobson Road, Summertown OX2",Listed on 23rd Feb 2022,"['1.7 miles Oxford Parkway', '1.9 miles Oxford']",3,3,2
chancellors-summertown-oxford-1510,"£330,000",1 bed flat for sale,"North Oxford, Oxfordshire OX2",Listed on 23rd Feb 2022,"['1.2 miles Oxford Parkway', '2.4 miles Oxford']",1,1,1
qpc-retirement-sales-reading-reading-84779,"£345,000",1 bed flat for sale,"Goring Lodge, Pegasus Grange, White House Road, Oxford OX1",Listed on 23rd Feb 2022,"['0.9 miles Oxford', '4 miles Radley']",1,1,1
connells-cowley-oxford-1870,"£200,000",1 bed flat for sale,"Pegasus Road, Oxford OX4",Listed on 23rd Feb 2022,"['3.3 miles Radley', '3.9 miles Oxford']",1,1,1
inspired-sales-and-acquisitions-oxford-129967,"£615,000",2 bed flat for sale,"Tidmarsh Lane, Oxford OX1",Listed on 23rd Feb 2022,"['0.3 miles Oxford', '3.6 miles Oxford Parkway']",2,1,1
cala-homes-wolvercote-oxford-102137,"£859,950",4 bed terraced house for sale,"""Wolvercote Townhouse"" at Godstow Road, Wolvercote, Oxford OX2",Listed on 23rd Feb 2022,"['1.6 miles Oxford Parkway', '2.3 miles Oxford']",4,,
pearce-alder-and-co-oxford-5882,"£675,000",4 bed terraced house for sale,"Henry Road, Oxford OX2",Listed on 22nd Feb 2022,"['0.4 miles Oxford', '3.5 miles Oxford Parkway']",4,2,2
chancellors-headington-oxford-13802,"£375,000",3 bed terraced house for sale,"Marston, Oxford OX3",Listed on 21st Feb 2022,"['1.8 miles Oxford', '3.2 miles Oxford Parkway']",3,1,1
penny-and-sinclair-summertown-16670,"£1,350,000",3 bed terraced house for sale,"Stratfield Road, Summertown OX2",Listed on 21st Feb 2022,"['1.6 miles Oxford', '2 miles Oxford Parkway']",3,2,2
chancellors-botley-oxford-1517,"£400,000",3 bed semi-detached house for sale,"Botley, Oxford OX2",Listed on 21st Feb 2022,"['2.1 miles Oxford', '4.4 miles Oxford Parkway']",3,2,1
scott-fraser-headington-oxford-6859,"£375,000",2 bed flat for sale,"Dorchester Close, Headington, Oxford OX3",Listed on 21st Feb 2022,"['3.1 miles Oxford', '4.9 miles Oxford Parkway']",2,2,1
allen-and-harris-oxford-rose-hill-oxford-20006,"£220,000",1 bed flat for sale,"Asquith Road, Littlemore, Oxford OX4",Listed on 21st Feb 2022,"['2.7 miles Radley', '2.7 miles Oxford']",1,1,1
